"flowerId","FeatureName","FeatureValue","setosa","versicolor","virginica"
1,"Sepal.Length",5.1,TRUE,FALSE,FALSE
2,"Sepal.Length",4.9,TRUE,FALSE,FALSE
3,"Sepal.Length",4.7,TRUE,FALSE,FALSE
4,"Sepal.Length",4.6,TRUE,FALSE,FALSE
5,"Sepal.Length",7,FALSE,TRUE,FALSE
6,"Sepal.Length",6.4,FALSE,TRUE,FALSE
7,"Sepal.Length",6.9,FALSE,TRUE,FALSE
8,"Sepal.Length",5.5,FALSE,TRUE,FALSE
9,"Sepal.Length",6.3,FALSE,FALSE,TRUE
10,"Sepal.Length",5.8,FALSE,FALSE,TRUE
11,"Sepal.Length",7.1,FALSE,FALSE,TRUE
12,"Sepal.Length",6.3,FALSE,FALSE,TRUE
1,"Petal.Length",1.4,TRUE,FALSE,FALSE
2,"Petal.Length",1.4,TRUE,FALSE,FALSE
3,"Petal.Length",1.3,TRUE,FALSE,FALSE
4,"Petal.Length",1.5,TRUE,FALSE,FALSE
5,"Petal.Length",4.7,FALSE,TRUE,FALSE
6,"Petal.Length",4.5,FALSE,TRUE,FALSE
7,"Petal.Length",4.9,FALSE,TRUE,FALSE
8,"Petal.Length",4,FALSE,TRUE,FALSE
9,"Petal.Length",6,FALSE,FALSE,TRUE
10,"Petal.Length",5.1,FALSE,FALSE,TRUE
11,"Petal.Length",5.9,FALSE,FALSE,TRUE
12,"Petal.Length",5.6,FALSE,FALSE,TRUE
1,"Sepal.Width",3.5,TRUE,FALSE,FALSE
2,"Sepal.Width",3,TRUE,FALSE,FALSE
3,"Sepal.Width",3.2,TRUE,FALSE,FALSE
4,"Sepal.Width",3.1,TRUE,FALSE,FALSE
5,"Sepal.Width",3.2,FALSE,TRUE,FALSE
6,"Sepal.Width",3.2,FALSE,TRUE,FALSE
7,"Sepal.Width",3.1,FALSE,TRUE,FALSE
8,"Sepal.Width",2.3,FALSE,TRUE,FALSE
9,"Sepal.Width",3.3,FALSE,FALSE,TRUE
10,"Sepal.Width",2.7,FALSE,FALSE,TRUE
11,"Sepal.Width",3,FALSE,FALSE,TRUE
12,"Sepal.Width",2.9,FALSE,FALSE,TRUE
1,"Petal.Width",0.2,TRUE,FALSE,FALSE
2,"Petal.Width",0.2,TRUE,FALSE,FALSE
3,"Petal.Width",0.2,TRUE,FALSE,FALSE
4,"Petal.Width",0.2,TRUE,FALSE,FALSE
5,"Petal.Width",1.4,FALSE,TRUE,FALSE
6,"Petal.Width",1.5,FALSE,TRUE,FALSE
7,"Petal.Width",1.5,FALSE,TRUE,FALSE
8,"Petal.Width",1.3,FALSE,TRUE,FALSE
9,"Petal.Width",2.5,FALSE,FALSE,TRUE
10,"Petal.Width",1.9,FALSE,FALSE,TRUE
11,"Petal.Width",2.1,FALSE,FALSE,TRUE
12,"Petal.Width",1.8,FALSE,FALSE,TRUE
